Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
1_step_velocity_avg3,3,111,139,25,0.816,0.617,30,6.93,6.17
1_steps_velocity_avg2,1,143,168,101,0.586,0.615,30,7.06,7.08
1_steps_velocity_avg2,2,136,161,78,0.636,0.625,30,7.15,6.90
1_steps_velocity_avg2,3,111,138,49,0.694,0.581,30,7.52,6.63
1_steps_velocity_avg3,1,121,150,61,0.665,0.599,30,6.88,5.96
1_steps_velocity_avg3,2,111,141,49,0.694,0.581,30,7.07,5.95
1_steps_velocity_avg3,3,110,140,34,0.764,0.599,30,7.69,6.37
1_steps_velocity_avg4,1,107,139,43,0.713,0.572,30,8.53,6.15
1_steps_velocity_avg4,2,97,132,29,0.770,0.556,30,8.09,5.49
1_steps_velocity_avg4,3,94,126,26,0.783,0.548,30,7.91,5.38
1_steps_velocity_avg5,1,95,126,27,0.779,0.548,30,9.13,6.69
1_steps_velocity_avg5,2,92,122,18,0.836,0.549,30,8.56,5.96
1_steps_velocity_avg5,3,87,118,17,0.837,0.530,30,8.07,6.63
2_steps_velocity_avg2,1,135,165,83,0.619,0.614,30,6.08,5.68
2_steps_velocity_avg2,2,124,154,68,0.646,0.600,30,6.52,6.12
2_steps_velocity_avg2,3,110,136,58,0.655,0.563,30,7.83,6.61
2_steps_velocity_avg3,1,118,145,58,0.670,0.596,30,7.02,6.33
2_steps_velocity_avg3,2,108,138,48,0.692,0.573,30,7.44,6.29
2_steps_velocity_avg3,3,98,128,40,0.710,0.541,30,7.74,6.33
2_steps_velocity_avg4,1,98,128,32,0.754,0.551,30,8.42,6.37
2_steps_velocity_avg4,2,97,125,27,0.782,0.553,30,8.54,6.89
2_steps_velocity_avg4,3,94,124,24,0.797,0.545,30,8.04,6.52
2_steps_velocity_avg5,1,91,121,21,0.812,0.540,30,9.43,7.63
2_steps_velocity_avg5,2,89,120,21,0.809,0.531,30,9.46,7.62
2_steps_velocity_avg5,3,87,119,21,0.806,0.521,30,10.06,8.25
3_steps_velocity_avg2,1,116,141,72,0.617,0.564,30,8.45,7.21
3_steps_velocity_avg2,2,107,137,55,0.660,0.556,30,8.20,6.85
3_steps_velocity_avg2,3,93,122,41,0.694,0.520,30,9.56,7.84
3_steps_velocity_avg3,1,105,133,47,0.691,0.559,30,6.87,6.21
3_steps_velocity_avg3,2,94,126,34,0.734,0.534,30,6.51,5.68
3_steps_velocity_avg3,3,87,122,33,0.725,0.509,30,6.89,5.86
3_steps_velocity_avg4,1,88,122,38,0.698,0.504,30,8.21,7.04
3_steps_velocity_avg4,2,87,120,33,0.725,0.506,30,8.26,6.96
3_steps_velocity_avg4,3,80,111,22,0.784,0.489,30,8.33,7.52
3_steps_velocity_avg5,1,84,118,22,0.792,0.508,30,7.74,6.07
3_steps_velocity_avg5,2,80,114,22,0.784,0.489,30,7.45,5.80
3_steps_velocity_avg5,3,78,112,18,0.812,0.488,30,7.67,5.89
4_steps_velocity_avg2,1,96,123,52,0.649,0.518,30,9.31,6.90
4_steps_velocity_avg2,2,84,110,42,0.667,0.476,30,9.99,7.36
4_steps_velocity_avg2,3,76,99,40,0.655,0.443,30,9.95,7.41
4_steps_velocity_avg3,1,87,123,49,0.640,0.487,30,8.40,7.24
4_steps_velocity_avg3,2,84,117,44,0.656,0.477,30,8.77,7.18
4_steps_velocity_avg3,3,78,111,36,0.684,0.459,30,9.48,7.61
4_steps_velocity_avg4,1,79,113,33,0.705,0.473,30,7.20,5.85
4_steps_velocity_avg4,2,78,112,32,0.709,0.470,30,7.63,6.17
4_steps_velocity_avg4,3,74,108,32,0.698,0.448,30,7.85,6.39
4_steps_velocity_avg5,1,86,118,24,0.782,0.510,30,8.59,7.13
4_steps_velocity_avg5,2,79,110,21,0.790,0.482,30,7.75,5.95
4_steps_velocity_avg5,3,78,110,20,0.796,0.479,30,8.04,6.16
